id,lon,lat,type
261614034003,-83.771405559235,42.28656356539839,regular
261614005002,-83.74662298349304,42.2746572111932,regular
261614054002,-83.69550449371603,42.24736841843113,regular
261614041003,-83.77060780663983,42.27022216658186,regular
261614043001,-83.77490618251957,42.26439677800723,regular
261614035002,-83.77223853662963,42.27816215175062,regular
261614032003,-83.77281891786429,42.29600092323342,regular
261614046001,-83.73168513887266,42.24967760501085,regular
261614005005,-83.73573636193973,42.26767885000141,regular
261614008001,-83.7387919224453,42.2857193106287,regular
261614023001,-83.6806388161999,42.2835237915499,regular
261614026001,-83.70849714229944,42.29497165607419,regular
261614074003,-83.58751301776994,42.263773427038686,regular
261614043003,-83.75972714781511,42.26067878534257,regular
261614046002,-83.72943356715774,42.24084810122091,regular
261614052001,-83.72431564285668,42.25869146056978,regular
261614056001,-83.72941218940201,42.2334485663979,regular
261614007002,-83.75392215442545,42.286943925355175,regular
261614002002,-83.72852470340571,42.28493719945131,regular
261614022001,-83.72366717844129,42.290970665071804,regular
261614006001,-83.75448490737513,42.27754702712374,regular
261614056002,-83.70613054419329,42.232271067962806,regular
261614054001,-83.69508984398863,42.253206244034324,regular
261614033002,-83.78955046998124,42.289105316208065,regular
261614022004,-83.72232033911341,42.294957315685835,regular
261614006002,-83.75017679765485,42.267106329243845,regular
261614041002,-83.76565479253077,42.272204171608195,regular
261614032001,-83.75112992504269,42.295205556417834,regular
261614044001,-83.76465544990913,42.254648897533656,regular
261614002004,-83.73838528106937,42.27658095284675,regular
261614041004,-83.7622359739707,42.26609305245877,regular
261614053004,-83.72079874368498,42.264566619417636,regular
261614005001,-83.7442724121709,42.27608313444307,regular
261614054003,-83.68685828664424,42.249907314992285,regular
261614027001,-83.70022375952442,42.30693564745707,regular
261614027002,-83.69833708672236,42.31305145504279,regular
261614025002,-83.69027817721357,42.295082291286796,regular
261614044002,-83.76267229054938,42.25211237993522,regular
261614008003,-83.73785602000116,42.282396239188685,regular
261614070001,-83.63300472309066,42.29189112857142,regular
261614055001,-83.69474557546538,42.24177255920633,regular
261614003001,-83.73245961955553,42.274068386260545,regular
261614038001,-83.72871281611116,42.309136848566524,regular
261614021002,-83.73390246087105,42.28990664349555,regular
261614052006,-83.70282128530117,42.24846691560679,regular
261614033003,-83.79056639638968,42.27905965209163,regular
261614003003,-83.72779946808177,42.27622602748979,regular
261614034001,-83.7771981228937,42.288729936580225,regular
261614004001,-83.72943997960674,42.26732515850162,regular
261614004002,-83.72821403660845,42.26254073669262,regular
261614005003,-83.74247521996098,42.26820460795536,regular
261614006003,-83.75163204954326,42.27182413752715,regular
261614007003,-83.75590989784031,42.28340768748786,regular
261614008002,-83.74172166114649,42.28295816245566,regular
261614021001,-83.74062516514206,42.29605466149738,regular
261614023002,-83.69417455991908,42.280377034146476,regular
261614027003,-83.69783561821102,42.31698565304703,regular
261614032002,-83.761874234646,42.29232535995638,regular
261614036002,-83.71059299119715,42.30892829889424,regular
261614036003,-83.71614729946013,42.31752875253209,regular
261614031001,-83.76742481093304,42.30775642693316,regular
261614043002,-83.77277864066042,42.25897408267364,regular
261614045002,-83.75354073758179,42.248564638625595,regular
261614045003,-83.74936647156797,42.24139639403716,regular
261614046004,-83.73030482823798,42.25499099208843,regular
261614052003,-83.71313111184422,42.25789802642796,regular
261614052004,-83.71748701570989,42.250155257832816,regular
261614053002,-83.69220872491988,42.264915948491605,regular
261614053005,-83.71450237516967,42.277875662313136,regular
261614053003,-83.70959594257914,42.266459017754386,regular
261614076001,-83.59451278917109,42.269587232981706,regular
261614034002,-83.76523790715541,42.28600681674987,regular
261614022003,-83.71278008311496,42.28204040705444,regular
261614002003,-83.73813597684722,42.27369175591899,regular
261614060001,-83.72662737556094,42.3308993428163,regular
261614038002,-83.73851833782268,42.3093747034315,regular
261614052002,-83.71918049935954,42.256357890510806,regular
261614035001,-83.77100817523521,42.28008640464918,regular
261614025001,-83.6877937141535,42.296106278598444,regular
261614055002,-83.6905801764471,42.23538855290311,regular
261614074002,-83.57748189778934,42.26524888956436,regular
261614002001,-83.734821934973,42.27993747622203,regular
261614056003,-83.71523709056483,42.23402566972171,regular
261614074001,-83.56114698327015,42.27004493346919,regular
261614001001,-83.74611946747106,42.28009136140515,regular
261614045001,-83.74490620725864,42.253776772102306,regular
261614033001,-83.78341050795342,42.29343990961765,regular
261614053001,-83.71794568313287,42.271643009065855,regular
261614060002,-83.6722233417535,42.29576263332384,regular
261614007001,-83.74647372646797,42.28631670019026,regular
261614022002,-83.7157651015611,42.29375922348057,regular
261614026002,-83.69830125376019,42.295711625131986,regular
261614042002,-83.78137881877895,42.266297731467176,regular
261614042001,-83.7768432571919,42.27049767651807,regular
261614003002,-83.73439818831238,42.27150198979363,regular
261614046003,-83.7345837009617,42.25959306776017,regular
261614005004,-83.73845300297984,42.26948621095294,regular
261614052005,-83.70780489644058,42.252164930236155,regular
261614004003,-83.73644027484079,42.26343936109681,regular
261614041001,-83.76071991000236,42.27394217966016,regular
261614006004,-83.75554405202064,42.27101289539308,regular
261614021003,-83.7347624435782,42.29499488425111,regular
261614036001,-83.71833577786829,42.302934119225974,regular
261614051002,-83.70671509126451,42.239409812658046,regular
261614051001,-83.71511857952834,42.24319617355423,regular
261614070002,-83.58845506517707,42.31770511280546,regular
